【4K】海风！沙滩！阳光！绝美COSPLAY泳装MV！,BV1B64y1R7h3,"时间如梭 碧蓝航线不知不觉都四周年了 所以前几天约了几个老妹一起去海边拍了个碧蓝主题COSPLAY泳装MV~
XDM 让我们一起来感受下海风拂面的夏日气息吧~~
出镜
天鹰@如月灰  
鸾@铁板烧鬼舞w  
柴郡@Momoko葵葵  
火奴...",318.0万,2021/6/3,萧影殿下
【咬人猫】激昂壮志????short ver. o(*≧▽≦)ツ,BV17p411R7jh,"创作类型: 原创编舞
简介: 很久没有挑战这样充满战斗风的歌曲，非常感谢正義老师精彩的原创编舞～在练习过程中也学到了很多舞蹈上的知识～非常满足！这支舞我很想传达出帅气却又有柔美的感觉～努力想尝试跳出自己的感觉来～服装参考了碧蓝航线里“犬”的...",302.0万,2018/5/25,=咬人猫=
此身为舰，即刻出击！《碧蓝航线》PV首曝,BV1ox411S7pU,"官网地址：http://game.bilibili.com/blhx/
伴随着文明发展而膨胀的野心，历史暗流之下的阴谋…
被剥夺的海权、失去的未来…
“碧蓝航线”--带着最后的希望拔锚起航！
脚本、监修：@N.ec鱼丸
音乐制作：@Vele...",279.1万,2017/4/14,哔哩哔哩游戏中心
性感舍长 在线社死,BV1vi4y1y7ZQ,诶嘿嘿嘿老婆嘿嘿,276.3万,2022/2/27,刀客塔_成长中の挂粒
【3周年主题曲】 fripSide《We Rise》完整版PV发布！,BV1fZ4y1n7fT,"三载风月与共，千帆碧海同行！《碧蓝航线》3周年主题曲《We Rise》PV正式发布，感谢所有玩家一直以来的陪伴与支持！
更多3周年相关活动，请戳3周年专题页：https://game.bilibili.com/blhx/2020-anniv...",274.4万,2020/6/1,碧蓝航线
【官方回播】Bilibili Macro Link-Visual Release 2019,BV187411N7pq,Bilibili Macro Link-Visual Release 2019让大家久等了！十分感谢各位嘉宾的精彩演出！也感谢现场和直播前各位观众的支持！明年（今年见啦！,273.8万,2020/2/29,BML制作指挥部
新年献礼！《激昂壮志》完整版PV正式发布,BV1MW411b73u,"《碧蓝航线》主题曲《激昂壮志》PV完整版正式发布！

值此新年之际为各位指挥官带来新年贺礼(づ￣ 3￣)づ主题曲完整版PV于2018年第一天与大家见面啦！

冬日活动「坠落之翼」也已正式开启！更多详情请查看专题页：http://www.bi...",231.9万,2018/1/1,碧蓝航线
【怪异君】与女仆争风吃醋，泡芙喵对怪异君大打出手！,BV1bK411n7BG,请 勿 剧 透,221.4万,2020/6/14,我是怪异君
你眼中的碧蓝航线VS家长眼中的碧蓝航线,BV1Qk4y1d7mB,视频内容具有夸张成分,209.4万,2020/3/28,奇奥凯克
【Lex】当宅男暑假去尝试了现充生活之后。。。,BV1Mx411p7J8,碧蓝航线夏日活动：8.2-8.22,203.6万,2017/8/5,LexBurner
